FloorName RoomNo Start End
Floor_1 Room_1 07:00 09:00
Floor_1 Room_1 10:00 12:00
Floor_1 Room_1 13:00 15:00
Floor_1 Room_1 16:00 18:00
Floor_1 Room_2 09:00 11:00
Floor_1 Room_2 12:00 14:00
Floor_1 Room_2 15:00 17:00
Floor_2 Room_1 10:00 13:00
Floor_2 Room_1 13:00 16:00
Floor_2 Room_1 16:00 19:00
Floor_2 Room_2 09:00 12:00
Floor_2 Room_2 14:00 17:00
Floor_2 Room_2 17:00 20:00
Floor_3 Room_1 10:00 11:00
Floor_3 Room_1 11:00 12:00
Floor_3 Room_1 14:00 15:00
Floor_3 Room_1 15:00 16:00
Floor_3 Room_2 09:00 10:00
Floor_3 Room_2 11:00 12:00
Floor_3 Room_2 15:00 16:00
Floor_3 Room_2 16:00 17:00
Floor_3 Room_3 12:00 13:00
Floor_3 Room_3 13:00 14:00
Floor_3 Room_3 16:00 17:00
Floor_3 Room_3 17:00 18:00
